date,median_1y_ret,sse_composite_1y_ret,sse_composite,n_eligible
2021-01-22,-0.05114279182259629,0.16539167455792092,3606.7496,4038
2021-01-25,-0.06514349311120948,0.1720237363194863,3624.2381,4038
2021-01-26,-0.0809657636017459,0.1456746143626515,3569.429,4040
2021-01-27,-0.07886902940319096,0.15016020881026781,3573.3412,4041
2021-01-28,-0.08165837638805801,0.13434721949526907,3505.1759,4044
2021-01-29,-0.08992495581181581,0.1330439070351228,3483.0692,4047
2021-02-01,-0.08593257950263666,0.13974596938932282,3505.2836,4049
2021-02-02,-0.09476978833870209,0.1414495110823668,3533.6849,4051
2021-02-03,-0.09697086967381924,0.15240644610920606,3517.308,4052
2021-02-04,-0.11284818523185935,0.14411632817986542,3501.8592,4054
2021-02-05,-0.09270457561248324,0.17463460197133696,3496.3329,4054
2021-02-08,-0.007058960650076607,0.2861135577674494,3532.4467,4052
2021-02-09,0.025178398001929114,0.29468802629983437,3603.489,4054
2021-02-10,0.010069968629853099,0.2970099796039003,3655.088,4058
2021-02-18,0.015331227089993904,0.2821715202987103,3675.3571,4056
2021-02-19,0.033815690734859016,0.2851929002161224,3696.168,4060
2021-02-22,0.02938802092569126,0.2601488579194142,3642.4449,4060
2021-02-23,0.02880096094117013,0.2531927427832703,3636.3573,4061
2021-02-24,0.015521138091402209,0.21769824590126796,3564.0799,4063
2021-02-25,0.019180255155356152,0.23363906659621647,3585.0458,4063
2021-02-26,0.014498941457982362,0.20297262156695695,3509.0804,4062
2021-03-01,0.000972698402886496,0.1902980082198069,3551.3998,4061
2021-03-02,-0.011949831126730759,0.1754186203982644,3508.5912,4061
2021-03-03,0.003718309859154889,0.20215843782313914,3576.9045,4061
2021-03-04,-0.014246947518720354,0.15620901404951604,3503.4916,4065
2021-03-05,-0.015821833097643734,0.1520946753021677,3501.9867,4068
2021-03-08,-0.03284649104250775,0.12872014833038414,3421.4141,4070
2021-03-09,-0.04336347213586855,0.11491408655966251,3359.292,4073
2021-03-10,-0.05122922861896573,0.12376751158754229,3357.7372,4075
2021-03-11,-0.03500929483868909,0.14893130437550028,3436.8313,4073
2021-03-12,0.01670185129493884,0.19885884954219057,3453.0777,4074
2021-03-15,-0.01656256823355845,0.15113591321131903,3419.9456,4078
2021-03-16,-0.01824298542957048,0.1516379047884311,3446.7334,4080
2021-03-17,-0.025523572960813645,0.14406818127257615,3445.5509,4083
2021-03-18,-0.047740266678075516,0.1274193176099141,3463.0681,4085
2021-03-19,-0.047747686301925996,0.12198079473291124,3404.6634,4083
2021-03-22,-0.006901614986430327,0.16992833905261207,3443.4392,4092
2021-03-23,-0.03538441552196209,0.1383983872191643,3411.5088,4095
2021-03-24,-0.03226015375097069,0.13425664946413973,3367.0606,4098
2021-03-25,-0.021343762121074694,0.1505414974508512,3363.5915,4101
2021-03-26,0.0004966843292459888,0.18386622135663022,3418.3267,4105
2021-03-29,0.03515933119301762,0.2316182640539295,3435.2958,4109
2021-03-30,0.031103765905421854,0.24356957357834053,3456.6766,4113
2021-03-31,0.051575984243053874,0.2613480727465476,3441.9115,4110
2021-04-01,0.04881170901362175,0.28281467328584076,3466.3315,4116
2021-04-02,0.03266882024957973,0.2690739010981207,3484.3924,4118
2021-04-06,0.07593859223767518,0.30930384305889924,3482.9674,4122
